utilization.gpu [], utilization.memory []
27 , 2 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
2 , 1 
0 , 1 
0 , 1 
1 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
8 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
0 , 3 
0 , 3 
0 , 3 
0 , 7 
0 , 7 
0 , 6 
0 , 6 
0 , 6 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 6 
0 , 7 
0 , 7 
0 , 7 
3 , 7 
0 , 7 
1 , 7 
1 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 6 
0 , 7 
0 , 7 
2 , 8 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
0 , 7 
 , 7 
